"denom","timestamp","price","marketCap","dayVolume"
"unyx",1660348800000,0,0,0
"unyx",1660352400000,0,0,0
"unyx",1660356000000,0,0,0
"unyx",1660359600000,0,0,0
"unyx",1660363200000,0,0,0
"unyx",1660366800000,0,0,0
"unyx",1660370400000,0,0,0
"unyx",1660374000000,0,0,0
"unyx",1660377600000,0,0,0
"unyx",1660381200000,0,0,0
"unyx",1660384800000,0,0,0
"unyx",1660388400000,0,0,0
"unyx",1660392000000,0,0,0
"unyx",1660395600000,0,0,0
"unyx",1660399200000,0,0,0
"unyx",1660402800000,0,0,0
"unyx",1660406400000,0,0,0
"unyx",1660410000000,0,0,0
"unyx",1660413600000,0,0,0
"unyx",1660417200000,0,0,0
"unyx",1660420800000,0,0,0
"unyx",1660424400000,0,0,0
"unyx",1660428000000,0,0,0
"unyx",1660431600000,0,0,0
"unyx",1660435200000,0,0,0
"unyx",1660438800000,0,0,0
"unyx",1660442400000,0,0,0
"unyx",1660446000000,0,0,0
"unyx",1660449600000,0,0,0
"unyx",1660453200000,0,0,0
"unyx",1660456800000,0,0,0
"unyx",1660460400000,0,0,0
"unyx",1660464000000,0,0,0
"unyx",1660467600000,0,0,0
"unyx",1660471200000,0,0,0
"unyx",1660474800000,0,0,0
"unyx",1660478400000,0,0,0
"unyx",1660482000000,0,0,0
"unyx",1660485600000,0,0,0
"unyx",1660489200000,0,0,0
"unyx",1660492800000,0,0,0
"unyx",1660496400000,0,0,0
"unyx",1660500000000,0,0,0
"unyx",1660503600000,0,0,0
"unyx",1660507200000,0,0,0
"unyx",1660510800000,0,0,0
"unyx",1660514400000,0,0,0
"unyx",1660518000000,0,0,0
"unyx",1660521600000,0,0,0
"unyx",1660525200000,0,0,0
"unyx",1660528800000,0,0,0
"unyx",1660532400000,0,0,0
"unyx",1660536000000,0,0,0
"unyx",1660539600000,0,0,0
"unyx",1660543200000,0,0,0
"unyx",1660546800000,0,0,0
"unyx",1660550400000,0,0,0
"unyx",1660554000000,0,0,0
"unyx",1660557600000,0,0,0
"unyx",1660561200000,0,0,0
"unyx",1660564800000,0,0,0
"unyx",1660568400000,0,0,0
"unyx",1660572000000,0,0,0
"unyx",1660575600000,0,0,0
"unyx",1660579200000,0,0,0
"unyx",1660582800000,0,0,0
"unyx",1660586400000,0,0,0
"unyx",1660590000000,0,0,0
"unyx",1660593600000,0,0,0
"unyx",1660597200000,0,0,0
"unyx",1660600800000,0,0,0
"unyx",1660604400000,0,0,0
"unyx",1660608000000,0,0,0
"unyx",1660611600000,0,0,0
"unyx",1660615200000,0,0,0
"unyx",1660618800000,0,0,0
"unyx",1660622400000,0,0,0
"unyx",1660626000000,0,0,0
"unyx",1660629600000,0,0,0
"unyx",1660633200000,0,0,0
"unyx",1660636800000,0,0,0
"unyx",1660640400000,0,0,0
"unyx",1660644000000,0,0,0
"unyx",1660647600000,0,0,0
"unyx",1660651200000,0,0,0
"uosmo",1659970800000,0,0,0
"uosmo",1659974400000,0,0,0
"uosmo",1659978000000,0,0,0
"uosmo",1659981600000,0,0,0
"uosmo",1659985200000,0,0,0
"uosmo",1659988800000,0,0,0
"uosmo",1659992400000,0,0,0
"uosmo",1659996000000,0,0,0
"uosmo",1659999600000,0,0,0
"uosmo",1660003200000,0,0,0
"uosmo",1660006800000,0,0,0
"uosmo",1660010400000,0,0,0
"uosmo",1660014000000,0,0,0
"uosmo",1660017600000,0,0,0
"uosmo",1660021200000,0,0,0
"uosmo",1660024800000,0,0,0
"uosmo",1660028400000,0,0,0
"uosmo",1660032000000,0,0,0
"uosmo",1660035600000,0,0,0
"uosmo",1660039200000,0,0,0
"uosmo",1660042800000,0,0,0
"uosmo",1660046400000,0,0,0
"uosmo",1660050000000,0,0,0
"uosmo",1660053600000,0,0,0
"uosmo",1660057200000,0,0,0
"uosmo",1660060800000,0,0,0
"uosmo",1660064400000,0,0,0
"uosmo",1660068000000,0,0,0
"uosmo",1660071600000,0,0,0
"uosmo",1660075200000,0,0,0
"uosmo",1660078800000,0,0,0
"uosmo",1660082400000,0,0,0
"uosmo",1660086000000,0,0,0
"uosmo",1660089600000,0,0,0
"uosmo",1660093200000,0,0,0
"uosmo",1660096800000,0,0,0
"uosmo",1660100400000,0,0,0
"uosmo",1660104000000,0,0,0
"uosmo",1660107600000,0,0,0
"uosmo",1660111200000,0,0,0
"uosmo",1660114800000,0,0,0
"uosmo",1660118400000,0,0,0
"uosmo",1660122000000,0,0,0
"uosmo",1660125600000,0,0,0
"uosmo",1660129200000,0,0,0
"uosmo",1660132800000,0,0,0
"uosmo",1660136400000,0,0,0
"uosmo",1660140000000,0,0,0
"uosmo",1660143600000,0,0,0
"uosmo",1660147200000,0,0,0
"uosmo",1660150800000,0,0,0
"uosmo",1660154400000,0,0,0
"uosmo",1660158000000,0,0,0
"uosmo",1660161600000,0,0,0
"uosmo",1660165200000,0,0,0
"uosmo",1660168800000,0,0,0
"uosmo",1660172400000,0,0,0
"uosmo",1660176000000,0,0,0
"uosmo",1660179600000,0,0,0
"uosmo",1660183200000,0,0,0
"uosmo",1660186800000,0,0,0
"uosmo",1660190400000,0,0,0
"uosmo",1660194000000,0,0,0
"uosmo",1660197600000,0,0,0
"uosmo",1660201200000,0,0,0
"uosmo",1660204800000,0,0,0
"uosmo",1660208400000,0,0,0
"uosmo",1660212000000,0,0,0
"uosmo",1660215600000,0,0,0
"uosmo",1660219200000,0,0,0
"uosmo",1660222800000,0,0,0
"uosmo",1660226400000,0,0,0
"uosmo",1660230000000,0,0,0
"uosmo",1660233600000,0,0,0
"uosmo",1660237200000,0,0,0
"uosmo",1660240800000,0,0,0
"uosmo",1660244400000,0,0,0
"uosmo",1660248000000,0,0,0
"uosmo",1660251600000,0,0,0
"uosmo",1660255200000,0,0,0
"uosmo",1660258800000,0,0,0
"uosmo",1660262400000,0,0,0
"uosmo",1660266000000,0,0,0
"uosmo",1660269600000,0,0,0
"uosmo",1660273200000,0,0,0
